Ore wo Suki nano wa Omae dake ka yo,1,1627,12,1,12,104464,1
Kaiju No. 8 2,6,6726,12,0,6,178754,3
Fire Force 3,6,https://www.animeworld.so/play/fire-force-3.dGBJF/tEVpcY,12,1,12,149118,0
Dan Da Dan 2,7,https://www.animeworld.so/play/dan-da-dan-2.IsJ2N,12,0,7,185660,0
One Piece,1140,https://www.animeworld.so/play/one-piece-subita.qzG-LE,??,0,1141,21,0
Dr. Stone 4 Part 2,7,https://www.animeworld.so/play/dr-stone-4-part-2.DeE4h,12,0,7,189117,0
Sakamoto Days Part 2,7,6736,??,0,7,184237,0
